Gene ID	Common Name	Annotation	logFC: YPS606 (WT) EtOH response	Pvalue: YPS606 (WT) EtOH response	FDR: YPS606 (WT) EtOH response	logFC: YPS606 msn2/4ÆÆ EtOH response	Pvalue: YPS606 msn2/4ÆÆ  EtOH response	FDR: YPS606 msn2/4ÆÆ  EtOH response	logFC: WT v msn2/4ÆÆ: EtOH response	Pvalue: WT v msn2/4ÆÆ: EtOH response	FDR: WT v msn2/4ÆÆ: EtOH response	logFC: WT v msn2/4ÆÆ: unstressed	Pvalue: WT v msn2/4ÆÆ: unstressed	FDR: WT v msn2/4ÆÆ:unstressed	logFC: WT v msn2/4ÆÆ: EtOH absolute	Pvalue: WT v msn2/4ÆÆ: EtOH absolute	FDR: WT v msn2/4ÆÆ: EtOH absolute			
YBL102W	SFT2	Tetra-spanning membrane protein found mostly in the late Golgi	0.070898142	0.587018847	0.619864334	-0.175012205	0.18466711	0.222094419	-0.245910347	0.18694699	0.362434111	-0.010954221	0.933458013	0.998531082	-0.256864568	0.052810577	0.103358614			
YDL167C	NRP1	Putative RNA binding protein of unknown function	-2.679897834	9.77E-26	1.30E-24	-2.46361061	1.04E-24	2.25E-23	0.216287224	0.187121424	0.36265014	0.074219184	0.495155698	0.998531082	0.290506409	0.019798303	0.046155948			
YFR032C-A	RPL29	Ribosomal 60S subunit protein L29	-1.374717554	3.17E-10	8.48E-10	-1.058373221	1.35E-07	3.36E-07	0.316344333	0.188199189	0.364616134	-0.035578082	0.83211219	0.998531082	0.280766252	0.101810888	0.174723754			
YLR087C	CSF1	Protein with structural similarity to lipid transport protein Vps13p	0.362758476	0.00012246	0.000202843	0.200097975	0.024931406	0.034356039	-0.162660502	0.188507813	0.365091175	-0.019012139	0.828031276	0.998531082	-0.18167264	0.038608109	0.080111131			
YPL007C	TFC8	Subunit of RNA polymerase III transcription initiation factor complex	0.355642758	0.001494655	0.002238094	0.552708834	3.26E-06	7.06E-06	0.197066076	0.188585551	0.365118881	0.066043867	0.539018989	0.998531082	0.263109943	0.013280493	0.033049077			
YGR101W	PCP1	Mitochondrial serine protease	0.369508047	0.008681437	0.011968946	0.115309614	0.397036377	0.442295603	-0.254198433	0.18873954	0.365294147	-0.020200018	0.882756398	0.998531082	-0.274398451	0.045210489	0.091258373			
YDR121W	DPB4	Subunit of DNA pol epsilon and of ISW2 chromatin accessibility complex	-1.758613711	3.21E-13	1.09E-12	-1.441414008	4.14E-11	1.46E-10	0.317199703	0.188840217	0.365366147	-0.004900585	0.975367148	0.998929735	0.312299117	0.085912488	0.152345127			
YER172C	BRR2	RNA-dependent ATPase RNA helicase (DEIH box)	-0.621479675	1.17E-09	2.97E-09	-0.469788151	5.68E-07	1.33E-06	0.151691524	0.189480526	0.366358719	0.050163143	0.534883347	0.998531082	0.201854667	0.016269917	0.039134827			
YML071C	COG8	Component of the conserved oligomeric Golgi complex	-0.451549761	0.039656033	0.050555953	-0.056848098	0.783819189	0.812034423	0.394701663	0.189478715	0.366358719	0.212620258	0.314615223	0.998531082	0.607321921	0.005950063	0.016755656			
YBR194W	AIM4	Protein proposed to be associated with the nuclear pore complex	-0.984485463	4.19E-05	7.26E-05	-0.578093785	0.010048161	0.014609046	0.406391678	0.189616604	0.366498715	-0.279875804	0.187346992	0.998531082	0.126515874	0.572201319	0.675192864			
YMR207C	HFA1	Mitochondrial acetyl-coenzyme A carboxylase	-0.423905831	0.000637141	0.000984269	-0.208992407	0.072227009	0.093235852	0.214913424	0.190542976	0.368165616	0.120316415	0.297354933	0.998531082	0.335229839	0.00542468	0.015511404			
YGL081W	YGL081W	Putative protein of unknown function	1.423682514	0.000199392	0.000323113	0.751080159	0.041284399	0.05522496	-0.672602355	0.191225099	0.369338995	0.114449823	0.77271558	0.998531082	-0.558152532	0.085308627	0.151601253			
YML058W	SML1	Ribonucleotide reductase inhibitor	-0.444774832	0.004937263	0.00700145	-0.726466496	1.76E-05	3.53E-05	-0.281691664	0.191308901	0.369338995	-0.077554334	0.607149537	0.998531082	-0.359245998	0.021458141	0.04944478			
YOR318C	NA	NA	-1.579851622	0.011561909	0.01571808	-0.395916276	0.538580954	0.58250131	1.183935346	0.191342753	0.369338995	-0.963444999	0.097482623	0.998531082	0.220490347	0.746875616	0.818704256			
YJR023C	NA	NA	-1.199007687	0.015289575	0.020452427	-0.323508606	0.481519634	0.526324917	0.875499081	0.191841663	0.370177879	-0.357611255	0.422288683	0.998531082	0.517887827	0.297551324	0.411807026			
YPL144W	POC4	Component of a heterodimeric Poc4p-Irc25p chaperone	0.104631815	0.433233973	0.469092316	0.350204285	0.009911277	0.014420801	0.24557247	0.192253256	0.37078993	0.094176398	0.483609232	0.998531082	0.339748867	0.011550128	0.029456152			
YPL268W	PLC1	Phospholipase C	0.625789624	9.52E-06	1.74E-05	0.392087668	0.002993249	0.004647055	-0.233701956	0.19228769	0.37078993	0.076174263	0.552840235	0.998531082	-0.157527693	0.204048578	0.306819126			
YML107C	PML39	Protein required for nuclear retention of unspliced pre-mRNAs	0.31900659	0.002227522	0.003276671	0.50240446	6.02E-06	1.27E-05	0.18339787	0.192380749	0.370845141	-0.036859561	0.715093638	0.998531082	0.146538309	0.132105957	0.216392113			
YLR051C	FCF2	Nucleolar protein involved in the early steps of 35S rRNA processing	-2.372194172	6.07E-15	2.36E-14	-2.002139203	3.71E-13	1.63E-12	0.37005497	0.192562412	0.371071056	0.053265982	0.773415048	0.998531082	0.423320952	0.050748694	0.100243432			
YKL012W	PRP40	U1 snRNP protein involved in splicing	-0.485708091	0.000387719	0.000611428	-0.721445753	8.57E-07	1.97E-06	-0.235737663	0.192806111	0.371236779	0.074027457	0.555729086	0.998531082	-0.161710206	0.210993514	0.314713311			
YOL030W	GAS5	"1,3-beta-glucanosyltransferase"	0.26557489	0.039327988	0.050182199	0.031806044	0.800327951	0.826311693	-0.233768846	0.192841899	0.371236779	-0.032890786	0.793880187	0.998531082	-0.266659632	0.038469448	0.079852198			
YPL241C	CIN2	GTPase-activating protein (GAP) for Cin4p	-0.40051772	0.010338971	0.014139016	-0.122455484	0.412088306	0.457469679	0.278062236	0.192753652	0.371236779	-0.100220044	0.503358239	0.998531082	0.177842192	0.238323207	0.34623634			
YIR028W	DAL4	Allantoin permease	0.456554915	0.578106571	0.611800224	-1.0502143	0.195101715	0.233764669	-1.506769215	0.192911822	0.371247225	0.694298512	0.392605139	0.998531082	-0.812470703	0.320590382	0.434806371			
YLR068W	FYV7	Nucleolar protein required for maturation of 18S rRNA	-3.690781983	2.57E-14	9.59E-14	-3.084386589	2.62E-13	1.16E-12	0.606395394	0.193093135	0.371423093	0.219583431	0.398138621	0.998531082	0.825978825	0.034731306	0.073121214			
YLR457C	NBP1	Spindle pole body (SPB) component	-0.687692071	0.002739259	0.003992701	-0.287724861	0.180572391	0.217487902	0.39996721	0.193132265	0.371423093	-0.123339498	0.561380323	0.998531082	0.276627712	0.209567541	0.313154405			
YBR274W	CHK1	Serine/threonine kinase and DNA damage checkpoint effector	0.21327614	0.013640121	0.018387686	0.3681526	5.91E-05	0.000112659	0.15487646	0.1933308	0.371680723	-0.069405255	0.413065945	0.998531082	0.085471205	0.301795375	0.416678863			
YNL332W	THI12	Protein involved in synthesis of the thiamine precursor HMP	3.370319921	0.001919867	0.002841136	1.290135634	0.205079249	0.244700697	-2.080184287	0.193524018	0.371927962	0.936894135	0.496781673	0.998531082	-1.143290152	0.134679596	0.219670091			
YAL027W	SAW1	5'- and 3'-flap DNA binding protein	0.564280739	0.011251484	0.015314151	0.16568725	0.443101392	0.487945592	-0.398593488	0.194053938	0.372821917	0.06304665	0.776364324	0.998531082	-0.335546839	0.111428577	0.188697525			
YFL026W	STE2	Receptor for alpha-factor pheromone	1.385850848	1.46E-05	2.63E-05	0.858044231	0.003679807	0.005633237	-0.527806617	0.194742817	0.373833436	0.29984198	0.334513692	0.998531082	-0.227964637	0.38063796	0.49569052			
YNL110C	NOP15	Constituent of 66S pre-ribosomal particles	-4.514592788	4.32E-24	4.60E-23	-4.119763423	1.21E-23	2.08E-22	0.394829365	0.194775274	0.373833436	0.158791567	0.358661356	0.998531082	0.553620932	0.029512085	0.063885507			
YPR021C	AGC1	Mitochondrial amino acid transporter	0.267366572	0.012957934	0.017508419	0.459372627	5.68E-05	0.000108509	0.192006055	0.194724333	0.373833436	-0.081683684	0.438986944	0.998531082	0.110322371	0.283485467	0.39615012			
YNL213C	RRG9	Protein of unknown function	-1.197708921	3.62E-08	8.15E-08	-0.869423277	9.80E-06	2.02E-05	0.328285645	0.195160365	0.374447687	0.05177951	0.763167993	0.998531082	0.380065154	0.042645486	0.086788199			
YLR411W	CTR3	High-affinity copper transporter of the plasma membrane	-2.475275313	3.68E-10	9.77E-10	-1.928533594	8.91E-08	2.26E-07	0.546741719	0.195288235	0.37456817	-0.350428065	0.232442063	0.998531082	0.196313654	0.514103015	0.623622606			
YBR259W	YBR259W	Protein of unknown function	-0.581475795	0.000591159	0.000915445	-0.294661256	0.058545715	0.076745419	0.286814538	0.195531	0.37478568	0.135369804	0.380469055	0.998531082	0.422184342	0.00958584	0.025252218			
YJL156C	SSY5	Serine protease of SPS plasma membrane amino acid sensor system	0.128956877	0.119031813	0.14188178	0.279135821	0.001184426	0.001935706	0.150178943	0.195531862	0.37478568	0.051161007	0.533933741	0.998531082	0.201339951	0.0155666	0.037780079			
YLR283W	PUT7	Regulator of mitochondrial proline metabolism	1.268760127	5.00E-14	1.81E-13	1.052385935	1.50E-11	5.53E-11	-0.216374191	0.196013952	0.375584656	0.055097279	0.654295918	0.998531082	-0.161276912	0.151739973	0.242077406			
YHR107C	CDC12	Component of the septin ring that is required for cytokinesis	-0.161883075	0.043675386	0.055434514	-0.017632929	0.821007346	0.844330585	0.144250146	0.196086511	0.375598655	0.055129629	0.482709554	0.998531082	0.199379775	0.013598268	0.033708713			
YDR189W	SLY1	Hydrophilic protein involved in ER/Golgi vesicle trafficking	-0.179843174	0.046240724	0.05856141	-0.017751478	0.839549736	0.860938585	0.162091696	0.196601572	0.376084629	0.075082369	0.395789635	0.998531082	0.237174065	0.009396796	0.02481099			
YKL128C	PMU1	Putative phosphomutase	0.418707589	4.79E-05	8.25E-05	0.590683865	9.92E-08	2.51E-07	0.171976276	0.196477098	0.376084629	-0.063487549	0.501552338	0.998531082	0.108488727	0.243300961	0.351339772			
YKL154W	SRP102	Signal recognition particle (SRP) receptor beta subunit	-0.220701256	0.088854789	0.107968791	0.013179053	0.916811836	0.930061496	0.233880309	0.196581138	0.376084629	0.053216246	0.675934086	0.998531082	0.287096555	0.027410451	0.060196321			
YLR410W-A	YLR410W-A	Retrotransposon TYA Gag gene co-transcribed with TYB Pol	1.400432042	0.037526765	0.047990238	2.652342512	0.000315561	0.000553771	1.25191047	0.196466776	0.376084629	-0.53167765	0.487682423	0.998531082	0.720232819	0.218684558	0.323918764			
YER024W	YAT2	Carnitine acetyltransferase	1.247483566	1.30E-10	3.56E-10	0.97248412	4.63E-08	1.21E-07	-0.274999446	0.197033793	0.376411057	0.20669694	0.194548068	0.998531082	-0.068302507	0.626962975	0.722916443			
YGR183C	QCR9	Subunit 9 of ubiquinol cytochrome-c reductase (Complex III)	-0.131333691	0.459263012	0.494577717	-0.458458694	0.013133611	0.018786547	-0.327125003	0.197018911	0.376411057	-0.066073688	0.709857244	0.998531082	-0.393198691	0.031328046	0.067072241			
YML079W	CFF1	Protein required for production of 4-hydroxy-5-methylfuran-3(2H)-one (	0.15028105	0.140632915	0.165707894	-0.035334507	0.726033229	0.758723179	-0.185615557	0.196908185	0.376411057	0.011323974	0.911223142	0.998531082	-0.174291583	0.086379083	0.152936944			
YOL154W	ZPS1	Putative GPI-anchored protein	0.402223756	0.030001321	0.038780059	0.069114288	0.702885306	0.738960333	-0.333109468	0.196875419	0.376411057	0.063110229	0.734394059	0.998531082	-0.26999924	0.129016054	0.212540472			
YKR064W	OAF3	Putative transcriptional repressor with Zn(2)-Cys(6) finger	0.297873393	0.004249899	0.006073093	0.479797702	1.36E-05	2.75E-05	0.181924309	0.197647818	0.377458806	0.039722414	0.693021664	0.998531082	0.221646723	0.026749421	0.059108024			
YJR118C	ILM1	Protein of unknown function	1.342562213	8.19E-12	2.50E-11	1.609440649	3.34E-14	1.64E-13	0.266878435	0.197873908	0.377765246	-0.011861151	0.936773875	0.998531082	0.255017284	0.075087466	0.136600333			
YFL005W	SEC4	Rab family GTPase	-0.08361117	0.350094343	0.385968788	0.079833371	0.371088867	0.41596641	0.163444541	0.198057357	0.377864815	-0.053290471	0.550969107	0.998531082	0.11015407	0.218300969	0.323517089			
YOR301W	RAX1	Protein involved in establishing bud site selection	-1.55964383	8.25E-15	3.18E-14	-1.313569446	7.43E-13	3.14E-12	0.246074383	0.197998635	0.377864815	0.08163774	0.523994724	0.998531082	0.327712124	0.022877975	0.051926508			
YBR029C	CDS1	Phosphatidate cytidylyltransferase (CDP-diglyceride synthetase)	-0.119331966	0.253608678	0.286285851	-0.309872265	0.004441027	0.006751862	-0.190540299	0.198481118	0.378547819	-0.073323566	0.481268582	0.998531082	-0.263863865	0.014100863	0.034715385			
YDL103C	QRI1	UDP-N-acetylglucosamine pyrophosphorylase	0.5604969	3.22E-09	7.93E-09	0.700486122	7.88E-12	2.97E-11	0.139989222	0.19866632	0.378775535	-0.065187449	0.400848668	0.998531082	0.074801773	0.323079632	0.437586788			
YGR089W	NNF2	Protein that exhibits physical and genetic interactions with Rpb8p	0.190414167	0.016691157	0.022254877	0.331027309	8.07E-05	0.00015168	0.140613142	0.199375774	0.380002304	0.153673358	0.051188723	0.998531082	0.2942865	0.000354246	0.001473031			
YFR010W	UBP6	Ubiquitin-specific protease	0.908662259	8.79E-14	3.10E-13	0.752889464	2.36E-11	8.55E-11	-0.155772795	0.199998452	0.381062924	0.114101188	0.189649249	0.998531082	-0.041671607	0.620916727	0.718246921			
YDL205C	HEM3	Porphobilinogen deaminase	-0.171581393	0.035359036	0.04538952	-0.317253283	0.000241908	0.000430823	-0.145671889	0.200079959	0.381092073	-0.148811765	0.066971007	0.998531082	-0.294483654	0.000563297	0.002199686			
YGR137W	NA	NA	1.269360939	2.16E-11	6.35E-11	1.007477974	1.03E-08	2.88E-08	-0.261882964	0.200248002	0.381285974	-0.033180101	0.824080607	0.998531082	-0.295063065	0.035664708	0.074808312			
YGL210W	YPT32	Rab family GTPase involved in the exocytic pathway	-0.058632735	0.583876968	0.616999417	0.13537614	0.203049638	0.24258068	0.194008876	0.200321193	0.381299203	0.06970211	0.515812427	0.998531082	0.263710986	0.015434142	0.037532286			
YLR250W	SSP120	Protein packaged into COPII vesicles for ER to Golgi trafficking	1.293961248	1.01E-22	9.11E-22	1.169089899	5.29E-21	6.22E-20	-0.124871349	0.200678768	0.381634562	-0.041589908	0.551742668	0.998531082	-0.166461258	0.016186434	0.038982892			
YNL050C	YNL050C	Putative protein of unknown function	-1.728488781	3.35E-12	1.05E-11	-1.402570773	3.67E-10	1.19E-09	0.325918007	0.200696286	0.381634562	0.104571014	0.536458791	0.998531082	0.430489021	0.025828903	0.057472873			
YNL123W	NMA111	Serine protease and general molecular chaperone	-0.849383733	2.81E-13	9.60E-13	-0.698552855	7.93E-11	2.73E-10	0.150830877	0.200581845	0.381634562	-0.053972597	0.512289625	0.998531082	0.09685828	0.24648092	0.354890859			
YOR037W	CYC2	Mitochondrial peripheral inner membrane protein	0.913077539	4.70E-10	1.24E-09	1.124312421	1.64E-12	6.60E-12	0.211234882	0.200855041	0.38181031	-0.174395236	0.153344425	0.998531082	0.036839646	0.738925153	0.81275377			
YHL030W	ECM29	Scaffold protein	2.720031263	1.67E-28	3.52E-27	2.539713175	2.10E-27	6.86E-26	-0.180318088	0.201349743	0.382413738	0.174225642	0.089280011	0.998531082	-0.006092446	0.949837288	0.964243991			
YHR130C	YHR130C	Putative protein of unknown function	0.47225471	0.050358892	0.063469626	0.906701791	0.000421672	0.000730627	0.434447081	0.201345438	0.382413738	-0.296533211	0.242358582	0.998531082	0.13791387	0.538163594	0.645665164			
YJR110W	YMR1	Phosphatidylinositol 3-phosphate (PI3P) phosphatase	0.955212612	5.10E-14	1.85E-13	1.116418491	2.76E-16	1.75E-15	0.161205879	0.201371793	0.382413738	-0.047838552	0.604413568	0.998531082	0.113367327	0.183582386	0.281901175			
YBL037W	APL3	Alpha-adaptin	0.832891787	4.35E-13	1.45E-12	0.682902939	1.36E-10	4.58E-10	-0.149988848	0.201664508	0.38282827	0.05209546	0.53446113	0.998531082	-0.097893388	0.2299811	0.336666127			
YJL031C	BET4	Alpha subunit of Type II geranylgeranyltransferase	1.276536261	4.78E-14	1.74E-13	1.063380121	9.79E-12	3.64E-11	-0.21315614	0.201723096	0.38282827	0.194847616	0.114480133	0.998531082	-0.018308524	0.870236263	0.90991461			
YKL138C	MRPL31	Mitochondrial ribosomal protein of the large subunit	-1.220574246	8.16E-10	2.09E-09	-1.506655942	2.89E-12	1.14E-11	-0.286081696	0.201801997	0.382851777	-0.071469487	0.6386374	0.998531082	-0.357551183	0.031639092	0.067625181			
YGL172W	NUP49	FG-nucleoporin component of central core of the nuclear pore complex	0.14020104	0.075169158	0.092234848	-0.000328936	0.996602163	0.997121858	-0.140529976	0.20270995	0.384323995	0.042833986	0.582226513	0.998531082	-0.09769599	0.207693007	0.310837481			
YGR099W	TEL2	"Subunit of the ASTRA complex, involved in chromatin remodeling"	-0.307052755	0.023879535	0.031238774	-0.068974157	0.596281894	0.638548574	0.238078597	0.202711544	0.384323995	0.026078087	0.842388152	0.998531082	0.264156685	0.048270329	0.096507125			
YBL057C	PTH2	One of two mitochondrially-localized peptidyl-tRNA hydrolases	-0.82982312	2.30E-10	6.21E-10	-0.645518387	8.13E-08	2.07E-07	0.184304734	0.202892333	0.384540094	-0.06431372	0.521310408	0.998531082	0.119991014	0.24649994	0.354890859			
YIR021W	MRS1	Splicing protein	-0.157112103	0.124541424	0.148057972	-0.340971045	0.001553081	0.002513929	-0.183858942	0.203233053	0.385059069	-0.118009918	0.247566151	0.998531082	-0.301868861	0.004444544	0.013115013			
YMR009W	ADI1	Acireductone dioxygenease involved in methionine salvage pathway	-0.482315174	0.000187414	0.000304304	-0.267929613	0.026433345	0.036295404	0.21438556	0.203321801	0.385100457	0.004032843	0.972634107	0.998929735	0.218418404	0.07056584	0.130348449			
YDR369C	XRS2	FHA domain-containing component of the Mre11 complex	0.717616979	1.44E-05	2.61E-05	0.983711908	2.19E-08	5.93E-08	0.266094928	0.203543731	0.385393985	0.125350531	0.413634278	0.998531082	0.39144546	0.007367878	0.02027223			
YJR159W	SOR1	Sorbitol dehydrogenase	3.76843893	7.18E-10	1.85E-09	2.745527949	1.80E-06	4.04E-06	-1.022910982	0.203790349	0.385734051	0.190815967	0.78358685	0.998531082	-0.832095015	0.022709143	0.051624733			
YOL091W	SPO21	Component of the meiotic outer plaque of the spindle pole body	1.06060006	0.000879636	0.00134302	0.532836802	0.063421866	0.082591915	-0.527763258	0.204107843	0.386208002	0.601328982	0.059049273	0.998531082	0.073565724	0.784348728	0.846085323			
YDL044C	MTF2	Mitochondrial protein that interacts with mitochondrial RNA polymerase	-0.592638884	0.004693331	0.006670325	-0.234146092	0.235549463	0.276924573	0.358492792	0.204230089	0.386312321	-0.017625129	0.928495661	0.998531082	0.340867663	0.092393776	0.161419139			
YJL098W	SAP185	Protein that forms a complex with the Sit4p protein phosphatase	-2.886964147	1.86E-30	5.84E-29	-2.715178033	7.20E-30	3.99E-28	0.171786114	0.204918662	0.387370115	0.121836966	0.171329488	0.998531082	0.29362308	0.005618364	0.015985815			
YNL112W	DBP2	ATP-dependent RNA helicase of the DEAD-box protein family	-6.434389874	1.00E-35	1.52E-33	-6.699358224	2.90E-36	2.09E-33	-0.26496835	0.204923905	0.387370115	-0.120116866	0.344057602	0.998531082	-0.385085217	0.023001059	0.052105887			
YNR012W	URK1	Uridine/cytidine kinase	-3.722593102	2.79E-35	3.40E-33	-3.549486562	8.31E-35	2.99E-32	0.173106541	0.205204818	0.38777378	-0.139520403	0.09412651	0.998531082	0.033586138	0.804870825	0.862083452			
YPL269W	KAR9	Spindle positioning factor	-0.323880217	0.012070207	0.016355016	-0.102381264	0.398258381	0.443228004	0.221498953	0.205333121	0.387888888	0.143381142	0.245466795	0.998531082	0.364880095	0.004514992	0.013266103			
YOR295W	UAF30	Subunit of UAF (upstream activation factor) complex	-1.267516474	1.23E-06	2.44E-06	-0.869169295	0.000183004	0.000331144	0.398347179	0.205562466	0.388194736	0.121918239	0.561268866	0.998531082	0.520265418	0.028588637	0.06226114			
YHL007C	STE20	Cdc42p-activated signal transducing kinase	-0.351047745	5.34E-07	1.09E-06	-0.242555623	0.000194712	0.000351115	0.108492122	0.205745407	0.388302055	0.041723257	0.488327288	0.998531082	0.150215379	0.015696918	0.038058745			
YKL134C	1-Oct	Mitochondrial intermediate peptidase	0.091717329	0.429450578	0.465696595	0.299873677	0.011857435	0.017097042	0.208156347	0.205821677	0.388302055	-0.034282088	0.769083149	0.998531082	0.173874259	0.131578716	0.215651222			
YNL054W	VAC7	Integral vacuolar membrane protein	0.674700023	1.94E-08	4.48E-08	0.496354954	7.88E-06	1.64E-05	-0.178345069	0.205793577	0.388302055	0.120088072	0.236964064	0.998531082	-0.058256997	0.547918841	0.654455457			
YDR472W	TRS31	Core component of transport protein particle (TRAPP) complexes I-III	-0.933472165	2.64E-09	6.55E-09	-0.70848393	7.81E-07	1.81E-06	0.224988235	0.206182403	0.388855147	0.049367047	0.687550144	0.998531082	0.274355283	0.034929105	0.073430215			
YDR538W	PAD1	Phenylacrylic acid decarboxylase	-0.7655312	4.25E-06	8.02E-06	-0.505022595	0.000918618	0.00152204	0.260508604	0.20696698	0.389823933	0.073609031	0.605646003	0.998531082	0.334117635	0.027133519	0.059770583			
YER151C	UBP3	Ubiquitin-specific protease that cleaves Ub-protein fusions	-0.715116207	1.08E-05	1.97E-05	-0.456622776	0.002429156	0.003818192	0.258493431	0.206947694	0.389823933	0.161045234	0.262402829	0.998531082	0.419538665	0.005488457	0.015647131			
YKL108W	SLD2	Single-stranded DNA origin-binding and annealing protein	-0.635602682	0.000644347	0.000994066	-0.324048399	0.06474888	0.084243796	0.311554283	0.206838185	0.389823933	-0.180031746	0.295559892	0.998531082	0.131522537	0.453445789	0.567625268			
YOL055C	THI20	"Trifunctional enzyme of thiamine biosynthesis, degradation and salvage"	0.106031659	0.364570027	0.400546874	0.315461028	0.009024369	0.013214008	0.209429368	0.206883103	0.389823933	-0.118124812	0.320530486	0.998531082	0.091304556	0.425813596	0.541294845			
YIR018C-A	YIR018C-A	NA	-0.514115443	0.539402637	0.573476464	1.526064577	0.267812834	0.311231713	2.04018002	0.207082234	0.389849529	-2.853388281	0.021524614	0.910997628	-0.813208261	0.387759619	0.502803417			
YMR052W	FAR3	Protein of unknown function	0.35301512	0.159271395	0.185956623	0.793099749	0.001780531	0.002848183	0.440084629	0.207116029	0.389849529	0.071227414	0.779704756	0.998531082	0.511312043	0.032642116	0.069331374			
YOR354C	MSC6	Multicopy suppressor of HER2 involved in mitochondrial translation	-0.136297473	0.134407325	0.158925342	0.025389897	0.777472114	0.806620311	0.16168737	0.207299455	0.389971589	-0.109314793	0.22843074	0.998531082	0.052372577	0.559982834	0.664338455			
YPL045W	VPS16	Subunit of the HOPS and the CORVET complexes	0.101324305	0.266994278	0.300570911	0.263261722	0.004886789	0.007382771	0.161937417	0.207316376	0.389971589	0.166837785	0.071610646	0.998531082	0.328775202	0.000576719	0.002246005			
YNL121C	TOM70	Component of the TOM (translocase of outer membrane) complex	-0.383637693	0.000255819	0.000411311	-0.209453993	0.034890743	0.047077149	0.174183699	0.207461308	0.390116723	-0.039200224	0.68569883	0.998531082	0.134983476	0.168071351	0.262315265			
YCR075W-A	EGO2	Subunit of the EGO/GSE complex	0.190306261	0.434587555	0.470417905	0.629146758	0.013338577	0.019041878	0.438840497	0.207770607	0.390570743	-0.337017128	0.187005328	0.998531082	0.101823369	0.665178866	0.753991641			
YCR065W	HCM1	Forkhead transcription factor	-0.365060926	0.000285987	0.000458279	-0.532140761	7.86E-07	1.82E-06	-0.167079836	0.208161404	0.390922363	0.032413243	0.726558624	0.998531082	-0.134666593	0.154190836	0.245375298			
YJL062W-A	COA3	Mitochondrial protein required for cytochrome c oxidase assembly	0.16837382	0.323946585	0.359274864	-0.141126421	0.421129847	0.465979123	-0.30950024	0.208096676	0.390922363	-0.317880498	0.073214238	0.998531082	-0.627380739	0.000598487	0.002318233			
YOR306C	MCH5	Plasma membrane riboflavin transporter	1.181871494	1.01E-13	3.55E-13	0.981021922	2.93E-11	1.05E-10	-0.200849572	0.208096908	0.390922363	0.028906438	0.805179711	0.998531082	-0.171943134	0.110458884	0.187220653			
YBR108W	AIM3	Protein that inhibits barbed-end actin filament elongation	1.390576817	4.06E-16	1.74E-15	1.192407957	5.19E-14	2.47E-13	-0.19816886	0.208418061	0.391276699	0.193568134	0.097517434	0.998531082	-0.004600726	0.965255072	0.974567303			
YPL244C	HUT1	Protein with a role in UDP-galactose transport to the Golgi lumen	0.563503088	3.21E-07	6.69E-07	0.394712611	0.000121112	0.000223722	-0.168790477	0.208539034	0.391376159	0.045895032	0.629194592	0.998531082	-0.122895445	0.191387474	0.29158981			
YIL053W	GPP1	Constitutively expressed DL-glycerol-3-phosphate phosphatase	2.724078413	3.31E-30	9.99E-29	2.884529308	4.00E-31	3.07E-29	0.160450895	0.208974368	0.39206534	-0.246171582	0.008396328	0.611762836	-0.085720688	0.339842996	0.453722922			
YNL275W	BOR1	Boron efflux transporter of the plasma membrane	-0.579356449	1.43E-05	2.58E-05	-0.79252207	3.23E-08	8.57E-08	-0.213165622	0.20949577	0.392915495	0.052307908	0.656158811	0.998531082	-0.160857713	0.187089831	0.286254403			
YKL068W-A	YKL068W-A	Putative protein of unknown function	-0.732814842	0.000110934	0.000184388	-0.42324407	0.017685172	0.024816151	0.309570772	0.209702576	0.393175253	-0.256697141	0.137146462	0.998531082	0.052873631	0.762965847	0.830961479			
YDL176W	GID12	Protein of unknown function involved in regulating assembly of Gid4p i	-0.066035335	0.564450518	0.598007947	0.136655876	0.227197421	0.268413073	0.202691211	0.20998051	0.393440045	0.074427159	0.51662609	0.998531082	0.27711837	0.016870848	0.040411403			
YDR261C	EXG2	"Exo-1,3-beta-glucanase"	1.581779965	1.71E-24	1.94E-23	1.447753686	5.92E-23	9.16E-22	-0.134026279	0.209935488	0.393440045	-0.108051529	0.161130308	0.998531082	-0.242077808	0.001869465	0.006245293			
YBR213W	MET8	Bifunctional dehydrogenase and ferrochelatase	-1.932727543	6.79E-10	1.75E-09	-1.494640977	1.21E-07	3.04E-07	0.438086567	0.210335899	0.393977688	-0.18712383	0.396939832	0.998531082	0.250962736	0.350783279	0.464465009			
YGR013W	SNU71	Component of U1 snRNP required for mRNA splicing via spliceosome	0.194865947	0.090218523	0.109533393	-0.004843627	0.965004684	0.971247938	-0.199709574	0.210515589	0.394140914	0.360120737	0.00254474	0.318424362	0.160411163	0.150969513	0.241115571			
YGR053C	MCO32	Putative protein of unknown function	2.808690192	6.49E-09	1.56E-08	2.056674324	5.32E-06	1.13E-05	-0.752015869	0.210693207	0.394140914	0.166525131	0.739131589	0.998531082	-0.585490738	0.067432385	0.125733983			
YLR148W	PEP3	Component of CORVET membrane tethering complex	0.20526502	0.102705775	0.123547428	0.425044902	0.00108894	0.001786755	0.219779882	0.210639194	0.394140914	0.148882952	0.235605522	0.998531082	0.368662833	0.003877196	0.011647778			
